{'chromosomes': array([5, 6, 4, 1, 3, 2]), 'fittness': 29}
{'chromosomes': array([5, 1, 2, 6, 4, 3]), 'fittness': 29}
{'chromosomes': array([5, 4, 2, 6, 1, 3]), 'fittness': 29}
{'chromosomes': array([5, 1, 6, 2, 4, 3]), 'fittness': 29}
{'chromosomes': array([5, 2, 1, 4, 6, 3]), 'fittness': 29}
{'chromosomes': array([5, 2, 4, 1, 6, 3]), 'fittness': 29}
{'chromosomes': array([5, 4, 6, 2, 1, 3]), 'fittness': 29}
{'chromosomes': array([2, 6, 4, 5, 1, 3]), 'fittness': 30}
{'chromosomes': array([2, 5, 1, 3, 4, 6]), 'fittness': 30}
{'chromosomes': array([6, 2, 5, 1, 4, 3]), 'fittness': 30}
{'chromosomes': array([2, 1, 5, 6, 3, 4]), 'fittness': 30}
{'chromosomes': array([6, 5, 4, 1, 2, 3]), 'fittness': 30}
{'chromosomes': array([6, 5, 1, 2, 3, 4]), 'fittness': 30}
{'chromosomes': array([6, 5, 2, 1, 3, 4]), 'fittness': 30}
{'chromosomes': array([5, 1, 2, 3, 4, 6]), 'fittness': 30}
{'chromosomes': array([2, 1, 5, 6, 3, 4]), 'fittness': 30}
{'chromosomes': array([2, 4, 5, 1, 3, 6]), 'fittness': 30}
{'chromosomes': array([1, 5, 2, 6, 3, 4]), 'fittness': 31}
{'chromosomes': array([2, 4, 1, 5, 6, 3]), 'fittness': 31}
{'chromosomes': array([1, 5, 2, 3, 6, 4]), 'fittness': 31}
{'chromosomes': array([5, 1, 4, 3, 6, 2]), 'fittness': 31}
{'chromosomes': array([6, 1, 5, 4, 2, 3]), 'fittness': 31}
{'chromosomes': array([1, 5, 3, 4, 2, 6]), 'fittness': 31}
{'chromosomes': array([5, 1, 3, 4, 6, 2]), 'fittness': 31}
{'chromosomes': array([6, 1, 4, 2, 5, 3]), 'fittness': 31}
{'chromosomes': array([1, 5, 2, 6, 4, 3]), 'fittness': 31}
{'chromosomes': array([1, 4, 5, 3, 6, 2]), 'fittness': 31}
